Project Name,Subscription,Billing Subscription,Project Created,Description,Client,Volume (GB),All Files Total File Count,All Files Monthly File Count,Total Documents Reviewed,Monthly Documents Reviewed,Third Party Users,Max Raw Entity Count
GZ files,Data Mining,Data Mining,2023/02/13 06:13 AM,,,0,0,0,0,0,18,0
gzFileTest,Data Mining,Data Mining,2022/07/07 06:33 AM,,,0,0,0,0,0,18,0
has embedded ,Data Mining,Data Mining,2022/10/10 07:29 AM,,,0,0,0,0,0,18,0
highlight colours for PII @tt,Data Mining,Data Mining,2021/12/29 07:25 AM,highlight colours for PII @tt,TT,0,0,0,0,0,18,0
highlighty,Data Mining,Data Mining,2022/07/26 08:37 AM,,,0,0,0,0,0,18,0
ics1,Data Mining,Data Mining,2022/10/27 10:35 AM,ics1,,0,0,0,0,0,18,0
ics2,Data Mining,Data Mining,2022/10/27 10:50 AM,ics2,,0,0,0,0,0,18,0
ics4,Data Mining,Data Mining,2022/10/27 01:52 PM,ics4,,0,0,0,0,0,18,0
Image Classification Data Dont Delete,Data Mining,Data Mining,2024/02/15 05:48 AM,,,0,0,0,0,0,18,0
image classification test,Data Mining,Data Mining,2024/08/08 08:57 AM,,,0.01,17,0,0,0,18,0
IMAGE CLUSTER,Data Mining,Data Mining,2023/06/16 06:15 AM,,,0.01,403,0,1,1,18,0
image clustering (do not use),Data Mining,Data Mining,2022/03/01 05:22 AM,,,0,0,0,0,0,18,0
Image download issue ,Notification,Notification,2024/02/13 04:50 PM,,,0,0,0,0,0,18,0
image_cluster_automation (dont delete),Data Mining,Data Mining,2022/04/18 07:40 AM,image_cluster_automation (dont delete),Cypress,0,0,0,0,0,18,0
IMAGECLUSTER,Deleting,Data Mining,2024/09/09 12:01 PM,,,0.01,362,362,0,0,18,0
IMG cluster,Data Mining,Data Mining,2024/09/12 11:29 AM,,,0.01,403,403,0,0,18,0
Impact Assessment (Do not use),Data Mining,Data Mining,2021/12/14 10:24 AM,,,0,0,0,0,0,18,0
inclusive count (with Duplicates),Data Mining,Data Mining,2022/07/22 10:08 AM,,,0,0,0,0,0,18,0
inclusive count (withOut Duplicates),Data Mining,Data Mining,2022/07/25 05:32 AM,,,0,0,0,0,0,18,0
Ishwari (do not use),Data Mining,Data Mining,2023/01/13 08:49 AM,,,0,0,0,0,0,18,0
Ishwari MongoDB,Data Mining,Data Mining,2024/02/08 07:42 AM,TEST,TEST,2.48,1722,0,0,0,18,0
Ishwari test,Data Mining,Data Mining,2023/01/06 10:10 AM,,,0,0,0,0,0,18,0
Ishwari upload test,Data Mining,Data Mining,2023/07/13 11:04 AM,,,0.3,34,0,0,0,18,0
ISO ,Data Mining,Data Mining,2023/01/12 11:38 AM,,,0,0,0,0,0,18,0
January PM Test,Data Mining,Data Mining,2023/01/27 05:15 PM,,,0,0,0,0,0,18,0
Jennifer Test Data,Data Mining,Data Mining,2023/12/11 03:03 AM,,,0,5,0,0,0,18,0
json1,Data Mining,Data Mining,2024/06/20 06:49 AM,json1,,0,24,0,0,0,18,0
json2,Data Mining,Data Mining,2024/06/20 09:37 AM,json2,,0,14,0,0,0,18,0
Kings Landing,Data Mining,Data Mining,2024/06/25 02:43 PM,,,1.74,44811,928,7,7,18,0
Kri_ImgClsfct_1,Deleted,Deleted,2019/07/11 10:05 AM,Kri_ImgClsfct_1,,0,0,0,0,0,18,0
kris,Deleted,Deleted,2019/06/20 09:08 AM,kris,,0,0,0,0,0,18,0
kris_img_classification_1,Deleted,Deleted,2019/07/11 06:13 AM,kris_img_classification_1,,0,0,0,0,0,18,0
Krish_ImgClsf_1,Deleted,Deleted,2019/07/11 10:02 AM,Krish_ImgClsf_1,,0,0,0,0,0,18,0
krish_imgclsfctn_1,Deleted,Deleted,2019/07/11 09:49 AM,krish_imgclsfctn_1,,0,0,0,0,0,18,0
Krishn,Deleted,Deleted,2019/06/11 11:25 AM,Krishn,,0,0,0,0,0,18,0
Krishna_imgClsfcn_1,Deleted,Deleted,2019/07/11 09:53 AM,Krishna_imgClsfcn_1,,0,0,0,0,0,18,0
large 2 inclusive (Done delete),Data Mining,Data Mining,2020/10/13 05:47 PM,,,5.6,134242,0,8,8,18,0
large @ 90k +documents ? (Don't delete),Data Mining,Data Mining,2021/02/24 07:26 AM,large 5 lac documents,poc,17.24,110042,0,18,18,18,0
large csv,Data Mining,Data Mining,2022/07/07 04:57 AM,,,0,0,0,0,0,18,0
